ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10809677,JA108315,01/08/2017 13:29,016XX N WASHTENAW AVE,460,BATTERY,SIMPLE,STREET,FALSE,FALSE,1421,14,1,24,08B,1158117,1910873,2017,02/10/2018 15:50,41.91118469,-87.69456498,"(41.91118469, -87.694564983)"
10809680,JA108074,01/08/2017 6:24,017XX N MILWAUKEE AVE,610,BURGLARY,FORCIBLE ENTRY,TAVERN/LIQUOR STORE,FALSE,FALSE,1434,14,32,24,5,1161914,1911347,2017,02/10/2018 15:50,41.91240694,-87.68060283,"(41.912406937, -87.680602833)"
10809683,JA108200,01/08/2017 8:40,072XX S PHILLIPS AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,334,3,7,43,08B,1193782,1857329,2017,02/10/2018 15:50,41.76345428,-87.56530489,"(41.763454279, -87.565304885)"
10809863,JA105869,01/06/2017 7:40,040XX W VAN BUREN ST,560,ASSAULT,SIMPLE,APARTMENT,FALSE,FALSE,1132,11,24,26,08A,1149436,1897715,2017,02/10/2018 15:50,41.87525073,-87.72679796,"(41.875250729, -87.726797963)"
10809867,JA108116,01/08/2017 9:58,006XX S PULASKI RD,560,ASSAULT,SIMPLE,GOVERNMENT BUILDING/PROPERTY,FALSE,FALSE,1132,11,24,26,08A,1149822,1896852,2017,02/10/2018 15:50,41.87287507,-87.72540316,"(41.872875065, -87.725403155)"
10809917,JA108189,01/08/2017 11:00,067XX S WESTERN AVE,320,ROBBERY,STRONGARM - NO WEAPON,CTA BUS STOP,FALSE,FALSE,832,8,15,66,3,1161533,1860003,2017,02/10/2018 15:50,41.77152146,-87.68342984,"(41.771521464, -87.683429837)"
10810096,JA107583,01/07/2017 17:50,004XX W HURON ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1831,18,42,8,7,1173174,1904991,2017,02/10/2018 15:50,41.89472314,-87.63942576,"(41.894723141, -87.639425761)"
10810232,JA109558,01/09/2017 15:53,041XX W MAYPOLE AVE,031A,ROBBERY,ARMED: HANDGUN,ALLEY,FALSE,FALSE,1114,11,28,26,3,1148785,1901132,2017,02/10/2018 15:50,41.88463996,-87.72909987,"(41.884639962, -87.729099869)"
10810303,JA108615,01/08/2017 18:30,017XX N MILWAUKEE AVE,810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,FALSE,FALSE,1434,14,32,24,6,1161636,1911585,2017,02/10/2018 15:50,41.91306583,-87.68161749,"(41.913065827, -87.681617486)"
10810317,JA108580,01/08/2017 18:15,022XX N MAPLEWOOD AVE,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,FALSE,FALSE,1431,14,1,22,3,1158946,1914793,2017,02/10/2018 15:50,41.92192449,-87.69141172,"(41.921924485, -87.691411724)"
10810444,JA109174,01/07/2017 18:30,111XX S MICHIGAN AVE,610,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,FALSE,FALSE,531,5,9,49,5,1178790,1831274,2017,02/10/2018 15:50,41.69231026,-87.62104324,"(41.692310261, -87.621043241)"
